sender,unique_mail_no,first_attempt_utc,last_retry_utc,smtp_attempts,host,ip,reject_reason,first_log_line
cugadmissionunit@gmail.com,1,2026-07-15 17:00:52,2026-07-15 17:51:08,4,mail-yx1-f47.google.com,74.125.224.47,Rejected because 74.125.224.47 is in a black list at bl.spamcop.net,2026-07-15 17:00:52 H=mail-yx1-f47.google.com [74.125.224.47] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 74.125.224.47 is in a black list at bl.spamcop.net
cugadmissionunit@gmail.com,2,2026-07-15 18:27:51,2026-07-15 18:27:51,1,mail-oo1-f54.google.com,209.85.161.54,Rejected because 209.85.161.54 is in a black list at zen.spamhaus.org,2026-07-15 18:27:51 H=mail-oo1-f54.google.com [209.85.161.54] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.161.54 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,3,2026-07-15 19:15:21,2026-07-15 19:15:21,1,mail-oa1-f52.google.com,209.85.160.52,Rejected because 209.85.160.52 is in a black list at zen.spamhaus.org,2026-07-15 19:15:21 H=mail-oa1-f52.google.com [209.85.160.52] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.160.52 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,4,2026-07-15 20:40:49,2026-07-15 20:40:49,1,mail-oo1-f50.google.com,209.85.161.50,Rejected because 209.85.161.50 is in a black list at zen.spamhaus.org,2026-07-15 20:40:49 H=mail-oo1-f50.google.com [209.85.161.50] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.161.50 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,5,2026-07-15 22:27:49,2026-07-15 22:27:49,1,mail-oa1-f49.google.com,209.85.160.49,Rejected because 209.85.160.49 is in a black list at zen.spamhaus.org,2026-07-15 22:27:49 H=mail-oa1-f49.google.com [209.85.160.49] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.160.49 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,6,2026-07-16 00:04:27,2026-07-16 00:04:27,1,mail-oa1-f46.google.com,209.85.160.46,Rejected because 209.85.160.46 is in a black list at zen.spamhaus.org,2026-07-16 00:04:27 H=mail-oa1-f46.google.com [209.85.160.46] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.160.46 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,7,2026-07-16 04:01:25,2026-07-16 04:01:25,1,mail-oi1-f179.google.com,209.85.167.179,Rejected because 209.85.167.179 is in a black list at zen.spamhaus.org,2026-07-16 04:01:25 H=mail-oi1-f179.google.com [209.85.167.179] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.167.179 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,8,2026-07-16 05:51:33,2026-07-16 05:51:33,1,mail-oa1-f49.google.com,209.85.160.49,Rejected because 209.85.160.49 is in a black list at zen.spamhaus.org,2026-07-16 05:51:33 H=mail-oa1-f49.google.com [209.85.160.49] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.160.49 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,9,2026-07-16 08:45:00,2026-07-16 08:45:00,1,mail-oa1-f44.google.com,209.85.160.44,Rejected because 209.85.160.44 is in a black list at zen.spamhaus.org,2026-07-16 08:45:00 H=mail-oa1-f44.google.com [209.85.160.44] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 209.85.160.44 is in a black list at zen.spamhaus.org
cugadmissionunit@gmail.com,10,2026-07-16 11:05:01,2026-07-16 12:16:10,5,mail-yx1-f47.google.com,74.125.224.47,Rejected because 74.125.224.47 is in a black list at zen.spamhaus.org,2026-07-16 11:05:01 H=mail-yx1-f47.google.com [74.125.224.47] X=TLS1.3:ECDHE_SECP256R1__RSA_PSS_RSAE_SHA256__AES_128_GCM:128 CV=no SNI=mail.gekychat.com F=<cugadmissionunit@gmail.com> rejected RCPT <cug@gekychat.com>: Rejected because 74.125.224.47 is in a black list at zen.spamhaus.org
